order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer_type
57,Bob,Tablet,1.0,750.0,2024-04-04,South,750.0,Regular
58,Diana,Tablet,3.0,750.0,2024-04-08,North,2250.0,VIP
59,Diana,Laptop,1.0,500.0,2024-02-29,South,500.0,Regular
60,Diana,Tablet,2.0,500.0,2024-04-06,North,1000.0,Regular
61,Diana,Tablet,2.0,750.0,2024-04-25,South,1500.0,VIP
62,Eve,Phone,1.9594594594594594,500.0,2024-03-03,South,979.7297297297297,Regular
63,Charlie,Phone,2.0,500.0,2024-03-25,North,1000.0,Regular
64,Frank,Monitor,3.0,500.0,2024-02-01,South,1500.0,VIP
65,Alice,Laptop,1.0,500.0,2024-03-27,South,500.0,Regular
66,Diana,Tablet,1.9594594594594594,250.0,2024-02-02,South,489.86486486486484,Regular
67,Bob,Tablet,1.0,500.0,2024-03-07,East,500.0,Regular
68,Diana,Monitor,1.0,500.0,2024-01-18,West,500.0,Regular
69,Bob,Tablet,3.0,750.0,2024-01-25,South,2250.0,VIP
70,Frank,Laptop,2.0,250.0,2024-04-15,East,500.0,Regular
71,Frank,Monitor,2.0,500.0,2024-04-04,South,1000.0,Regular
72,Frank,Laptop,1.0,500.0,2024-02-23,North,500.0,Regular
73,Bob,Monitor,1.9594594594594594,500.0,2024-02-27,South,979.7297297297297,Regular
74,Diana,Monitor,2.0,500.0,2024-03-07,West,1000.0,Regular
75,Frank,Phone,1.9594594594594594,500.0,2024-04-13,South,979.7297297297297,Regular
76,Eve,Laptop,2.0,500.0,2024-02-15,North,1000.0,Regular
77,Bob,Tablet,1.9594594594594594,750.0,2024-01-24,West,1469.5945945945946,VIP
78,Bob,Tablet,3.0,500.0,2024-04-23,South,1500.0,VIP
79,Diana,Laptop,1.9594594594594594,500.0,2024-02-01,West,979.7297297297297,Regular
80,Bob,Tablet,3.0,250.0,2024-02-16,South,750.0,Regular
81,Bob,Tablet,3.0,750.0,2024-03-26,South,2250.0,VIP
82,Frank,Laptop,1.9594594594594594,250.0,2024-01-23,South,489.86486486486484,Regular
83,Diana,Monitor,3.0,250.0,2024-03-06,West,750.0,Regular
84,Frank,Laptop,1.0,500.0,2024-01-27,North,500.0,Regular
85,Frank,Monitor,3.0,500.0,2024-04-15,South,1500.0,VIP
86,Diana,Tablet,2.0,500.0,2024-01-02,South,1000.0,Regular
87,Alice,Tablet,1.9594594594594594,500.0,2024-03-30,South,979.7297297297297,Regular
88,Frank,Tablet,1.0,500.0,2024-01-17,South,500.0,Regular
89,Eve,Phone,1.9594594594594594,500.0,2024-04-13,West,979.7297297297297,Regular
90,Eve,Monitor,2.0,750.0,2024-02-02,South,1500.0,VIP
91,Bob,Phone,2.0,500.0,2024-01-09,West,1000.0,Regular
92,Eve,Phone,2.0,250.0,2024-02-12,South,500.0,Regular
93,Bob,Laptop,3.0,250.0,2024-04-27,South,750.0,Regular
94,Alice,Phone,3.0,500.0,2024-02-17,East,1500.0,VIP
95,Diana,Laptop,1.9594594594594594,250.0,2024-02-08,South,489.86486486486484,Regular
96,Diana,Laptop,1.9594594594594594,500.0,2024-04-02,North,979.7297297297297,Regular
97,Diana,Phone,1.0,250.0,2024-02-11,South,250.0,Regular
98,Eve,Monitor,1.0,500.0,2024-04-28,South,500.0,Regular
99,Alice,Monitor,1.9594594594594594,250.0,2024-01-26,West,489.86486486486484,Regular
100,Eve,Monitor,3.0,500.0,2024-04-08,South,1500.0,VIP
